Facility ID,State,HCAHPS Answer Description,Readmission national comparison,Effectiveness of care national comparison
340001,NC,"Nurses ""always"" communicated well",Above the national average,Same as the national average
340001,NC,"Nurses ""sometimes"" or ""never"" communicated well",Above the national average,Same as the national average
340001,NC,"Nurses ""usually"" communicated well",Above the national average,Same as the national average
340001,NC,Nurse communication - linear mean score,Above the national average,Same as the national average
340001,NC,Nurse communication - star rating,Above the national average,Same as the national average
340001,NC,"Nurses ""always"" treated them with courtesy and  respect",Above the national average,Same as the national average
340001,NC,"Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Above the national average,Same as the national average
340001,NC,"Nurses ""usually""  treated them with courtesy and  respect",Above the national average,Same as the national average
340001,NC,"Nurses ""always"" listened carefully",Above the national average,Same as the national average
340001,NC,"Nurses ""sometimes"" or ""never"" listened carefully",Above the national average,Same as the national average
340001,NC,"Nurses ""usually"" listened carefully",Above the national average,Same as the national average
340001,NC,"Nurses ""always"" explained things so they could understand",Above the national average,Same as the national average
340001,NC,"Nurses ""sometimes"" or ""never"" explained things so they could understand",Above the national average,Same as the national average
340001,NC,"Nurses ""usually"" explained things so they could understand",Above the national average,Same as the national average
340001,NC,"Doctors ""always"" communicated well",Above the national average,Same as the national average
340001,NC,"Doctors ""sometimes"" or ""never"" communicated well",Above the national average,Same as the national average
340001,NC,"Doctors ""usually"" communicated well",Above the national average,Same as the national average
340001,NC,Doctor communication - linear mean score,Above the national average,Same as the national average
340001,NC,Doctor communication - star rating,Above the national average,Same as the national average
340001,NC,"Doctors ""always"" treated them with courtesy and  respect",Above the national average,Same as the national average
340001,NC,"Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect",Above the national average,Same as the national average
340001,NC,"Doctors ""usually""  treated them with courtesy and  respect",Above the national average,Same as the national average
340001,NC,"Doctors ""always"" listened carefully",Above the national average,Same as the national average
340001,NC,"Doctors ""sometimes"" or ""never"" listened carefully",Above the national average,Same as the national average
340001,NC,"Doctors ""usually"" listened carefully",Above the national average,Same as the national average
340001,NC,"Doctors ""always"" explained things so they could understand",Above the national average,Same as the national average
340001,NC,"Doctors ""sometimes"" or ""never"" explained things so they could understand",Above the national average,Same as the national average
340001,NC,"Doctors ""usually"" explained things so they could understand",Above the national average,Same as the national average
340001,NC,"Patients ""always"" received help as soon as they wanted",Above the national average,Same as the national average
